,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,Technology,RAM,Operating_system,Star_ratings,Users_rated,Price
0,POCO M4 Pro,Cool Blue,64.0,5000.0,64,16,16.3,4.0,6.0,Android 11,4.1,26.0,12799.0
1,POCO M4 Pro,Cool Blue,64.0,5000.0,64,16,16.3,4.0,6.0,Android 11,4.1,26.0,12799.0
2,POCO X4 Pro,Laser Blue,128.0,5000.0,64,16,16.9,5.0,6.0,Android 11,3.6,47.0,17899.0
3,POCO X4 Pro,Laser Black,128.0,5000.0,64,16,16.9,5.0,6.0,Android 11,3.8,31.0,17999.0
4,POCO C31,Royal Blue,64.0,5000.0,13,5,16.5,2.0,4.0,Android 10,3.8,193.0,8399.0
5,POCO C31,Shadow Gray,64.0,5000.0,13,5,16.5,2.0,4.0,Android 10,3.8,91.0,8149.0
6,POCO M5,Power Black,128.0,5000.0,50,8,16.7,2.0,6.0,Android 12,3.9,202.0,13499.0
