,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,RAM,Star_ratings,Users_rated,Price
64,OPPO R17,Emerald Green,128.0,3700.0,12,25,16.26,8.0,4.2,552.0,49990.0
65,OPPO F21s,Starlight Black,128.0,4500.0,64,2,16.33,8.0,4.1,97.0,21979.0
66,OPPO Find,Bordeaux Red,256.0,3730.0,16,25,16.26,8.0,4.6,449.0,60990.0
67,OPPO A77,Sunset Orange,128.0,5000.0,50,8,16.66,4.0,4.4,126.0,15999.0
68,OPPO K1,Astral Blue,64.0,3600.0,16,25,16.28,4.0,4.5,75275.0,18990.0
69,OPPO K1,Piano Black,64.0,3600.0,16,25,16.28,6.0,4.4,1774.0,20990.0
70,OPPO A5,Diamond Blue,64.0,4230.0,13,8,15.75,4.0,4.4,14378.0,15990.0
71,OPPO A7,Glaring Gold,64.0,4230.0,13,16,15.75,4.0,4.4,20843.0,18990.0
72,OPPO A7,Glaze Blue,64.0,4230.0,13,16,15.75,4.0,4.4,20843.0,18990.0
73,OPPO F11,Aurora Green,128.0,4000.0,48,16,16.51,6.0,4.5,128.0,29990.0
74,OPPO F11,Thunder Black,64.0,4000.0,48,16,16.51,6.0,4.5,128.0,28990.0
75,OPPO F11,Aurora Green,64.0,4000.0,48,16,16.51,6.0,4.5,128.0,28990.0
76,OPPO F11,Thunder Black,128.0,4000.0,48,16,16.51,6.0,4.5,128.0,29990.0
77,OPPO F17,Dynamic Orange,128.0,4015.0,16,16,16.36,6.0,4.3,7178.0,17989.0
78,OPPO Reno2,Lake Green,256.0,4000.0,48,16,16.51,6.0,4.5,81874.0,19990.0
79,OPPO A9,Marine Green,128.0,5000.0,48,16,16.51,4.0,4.4,101.0,18990.0
80,OPPO A9,Space Purple,128.0,5000.0,48,16,16.51,4.0,4.4,101.0,18990.0
81,OPPO A9,Marine Green,128.0,5000.0,48,16,16.51,8.0,4.3,61836.0,21990.0
82,OPPO A9,Space Purple,128.0,5000.0,48,16,16.51,8.0,4.3,61836.0,21990.0
83,OPPO Reno2,Sky White,128.0,4000.0,48,16,16.51,8.0,4.4,4665.0,28990.0
84,OPPO A9,Vanilla Mint,128.0,5000.0,48,16,16.56,8.0,4.3,61836.0,21990.0
85,OPPO A9,Vanilla Mint,128.0,5000.0,48,16,16.56,4.0,4.4,101.0,18990.0
86,OPPO F15,Lightening Black,128.0,4000.0,48,16,16.26,8.0,4.4,22604.0,22990.0
87,OPPO F15,Blazing Blue,128.0,4000.0,48,16,16.26,4.0,4.4,41712.0,20990.0
88,OPPO F15,Unicorn White,128.0,4000.0,48,16,16.26,4.0,4.4,41712.0,20990.0
89,OPPO Reno3,Midnight Black,256.0,4025.0,64,44,16.26,8.0,4.4,4683.0,35990.0
