,Unnamed: 0,Brand,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,RAM,Star_ratings,Users_rated,Price
52,52,Poco,POCO M3,Cool Blue,64.0,5000.0,48,8,16.51,4.0,4.3,62329.0,14499.0
53,53,Poco,POCO M2,Green and,512.0,5000.0,48,16,16.94,6.0,4.4,349.0,14999.0
54,54,Poco,POCO C3,Arctic Blue,512.0,5000.0,13,5,16.59,4.0,4.3,304.0,9499.0
55,55,Poco,POCO F4,Nebula Green,128.0,4500.0,64,20,16.94,6.0,4.3,10725.0,27999.0
56,56,Poco,POCO M3,Cool Blue,128.0,5000.0,48,8,16.51,6.0,4.2,51734.0,16499.0
57,57,Poco,POCO F4,Nebula Green,256.0,4500.0,64,20,16.94,12.0,4.4,2180.0,33999.0
58,58,Poco,POCO F4,Night Black,128.0,4500.0,64,20,16.94,8.0,4.3,3885.0,29999.0
59,59,Poco,POCO C3,Matte Black,512.0,5000.0,13,5,16.59,3.0,4.3,397.0,8490.0
60,60,Poco,POCO X3,Golden Bronze,128.0,5160.0,48,20,16.94,6.0,4.4,135.0,19999.0
61,61,Poco,POCO X2,Matrix Purple,512.0,4500.0,64,2,16.94,8.0,4.5,60832.0,20999.0
62,62,Poco,POCO F3,Gunmetal Silver,128.0,5065.0,64,16,16.94,8.0,4.3,14744.0,28999.0
63,63,Poco,POCO C3,Arctic Blue,512.0,5000.0,13,5,16.59,3.0,4.3,397.0,8349.0
64,64,Poco,POCO F1,Steel Blue,256.0,4000.0,12,20,15.7,6.0,4.5,244.0,24999.0
65,65,Poco,POCO F1,Rosso Red,256.0,4000.0,12,20,15.7,6.0,4.5,244.0,24999.0
66,66,Poco,POCO M3,Yellow,512.0,6000.0,48,8,16.59,6.0,4.3,479.0,14490.0
67,67,Poco,POCO F3,Gunmetal Silver,128.0,5065.0,64,16,16.94,6.0,4.3,4658.0,28999.0
68,68,Poco,POCO M2,Mostly Blue,512.0,5000.0,13,8,16.59,4.0,4.3,66363.0,10989.0
69,69,Poco,POCO F1,Armoured Edition,256.0,4000.0,12,20,15.7,8.0,4.5,28194.0,30999.0
70,70,Poco,POCO X2,Atlantis Blue,512.0,4500.0,64,2,16.94,6.0,4.5,270.0,15999.0
71,71,Poco,POCO X3,Golden Bronze,128.0,5160.0,48,20,16.94,8.0,4.3,55611.0,21999.0
72,72,Poco,POCO M3,Power Black,512.0,6000.0,48,8,16.59,6.0,4.3,479.0,12999.0
73,73,Poco,POCO X3,Shadow Gray,512.0,6000.0,64,20,16.94,6.0,4.3,254.0,16999.0
74,74,Poco,POCO X3,Shadow Gray,512.0,6000.0,64,20,16.94,6.0,4.3,254.0,16999.0
75,75,Poco,POCO M2,Slate Blue,512.0,5000.0,13,8,16.59,6.0,4.4,406.0,11499.0
76,76,Poco,POCO C3,Matte Black,512.0,5000.0,13,5,16.59,3.0,4.3,397.0,8490.0
77,77,Poco,POCO X3,Cobalt Blue,512.0,6000.0,64,20,16.94,6.0,4.3,254.0,16999.0
78,78,Poco,POCO X3,Steel Blue,128.0,5160.0,48,20,16.94,8.0,4.3,55611.0,21999.0
79,79,Poco,POCO M3,Cool Blue,512.0,6000.0,48,8,16.59,6.0,4.3,479.0,12999.0
80,80,Poco,POCO F3,Predator Black,256.0,5065.0,64,16,16.94,8.0,4.3,14744.0,30999.0
81,81,Poco,POCO F3,Gunmetal Silver,256.0,5065.0,64,16,16.94,8.0,4.3,14744.0,30999.0
