,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,RAM,Star_ratings,Users_rated,Price
70,realme C11,Cool Blue,256.0,5000.0,8,5,16.51,2.0,4.4,231.0,7499.0
71,realme 8,Supersonic Blue,64.0,5000.0,48,16,16.51,4.0,4.3,75406.0,15499.0
72,realme C21,Cross Black,256.0,5000.0,13,5,16.51,4.0,4.4,146.0,10499.0
73,realme Narzo,Racing Blue,256.0,5000.0,48,16,16.51,6.0,4.3,75615.0,14499.0
74,realme C21Y,Cross Black,256.0,5000.0,13,5,16.51,4.0,4.5,252.0,10499.0
75,realme Narzo,Racing Silver,256.0,5000.0,48,16,16.51,6.0,4.3,75615.0,14499.0
76,realme Narzo,Racing Silver,256.0,5000.0,48,16,16.51,6.0,4.3,75615.0,15499.0
77,realme 9,Aurora Green,128.0,4500.0,50,16,16.26,6.0,4.4,29502.0,24999.0
78,realme GT,Shade Black,128.0,5000.0,64,16,16.81,6.0,4.3,9486.0,29999.0
79,realme GT,Drifting White,128.0,5000.0,64,16,16.81,8.0,4.3,5299.0,31999.0
80,realme GT,Dash Yellow,256.0,5000.0,64,16,16.81,8.0,4.3,5299.0,33999.0
81,realme GT,Shade Black,256.0,5000.0,64,16,16.81,8.0,4.3,5299.0,33999.0
